entry,dist,date,feedname,feed,title
WallStreetJournal|2199,0.5995555065678893,2015-11-14,WallStreetJournal,8,ISIS's Claim Shows How Group Is Expanding Targets
LATimes|19490,0.6769143050703279,2015-11-17,LATimes,3,"Israeli officials outlaw chapter of the Islamic Movement, drawing criticism"
NYPost|15857,0.6452074564972189,2015-11-17,NYPost,4,Obama rejects France’s call to ramp up war against ISIS
USAToday|7567,0.8510269521007165,2015-11-14,USAToday,7,"Live: Clinton, Sanders, O'Malley face off in second Democratic debate"
StLouisPost|16759,0.8111227353104369,2015-11-18,StLouisPost,6,Official: Leader of Taliban attack on hunger strike
USAToday|7947,0.8875851766159799,2015-11-20,USAToday,7,Disruption on United flight delays Gov. Chris Christie's travels
DailyNews|13770,0.7706502022196409,2015-11-16,DailyNews,2,Govs threaten to keep Syrian refugees out of their states
NYTimes|5384,0.6645323923376304,2015-11-18,NYTimes,5,The Chief Suspect: An ISIS Militant From Belgium Whose Own Family Wanted Him Dead
WallStreetJournal|2250,0.9128225758696281,2015-11-16,WallStreetJournal,8,Cubans Flood Mexico in Bid to Reach U.S.
NYTimes|5220,0.9479416286767183,2015-11-14,NYTimes,5,"Sharpening Attacks on Marco Rubio, Ted Cruz Urges New Immigration Limits"
NYTimes|5326,0.8950058576826644,2015-11-16,NYTimes,5,"Chris Christie, Taking Law-and-Order Stance, Sidesteps Bridge Scandal in ’16 Race"
StLouisPost|16981,0.83871147084088,2015-11-19,StLouisPost,6,UAW unworried about blowback over German union cooperation
StLouisPost|16645,0.9442965597224857,2015-11-17,StLouisPost,6,Ex-NFL player joins Illinois' Democratic US Senate primary
WashingtonPost|6117,0.7583359313842262,2015-11-19,WashingtonPost,9,"Looking ahead to the general election, Clinton takes hawkish stance on Syria"
NYTimes|5466,0.7713574549852362,2015-11-20,NYTimes,5,"After 30 Years in Prison, Jonathan Pollard to be Freed — but Not to Israel"
StLouisPost|16503,0.9509914586675471,2015-11-17,StLouisPost,6,Surging U.S. stock buybacks dwarf innovation spending
WallStreetJournal|2339,0.6859751420742987,2015-11-20,WallStreetJournal,8,The Crisis of World Order
NYTimes|5479,0.6683453206321179,2015-11-20,NYTimes,5,"For Russia, Links Between Caucasus and ISIS Provoke Anxiety"
WashingtonPost|5886,0.7911689266781032,2015-11-16,WashingtonPost,9,"From 2004 to 2014, over 2,000 terror suspects legally purchased guns in the United States"
NYPost|16336,0.7647455667415355,2015-11-20,NYPost,4,Inside an ISIS suicide-bombing truck
NYTimes|5272,0.6675826088084124,2015-11-15,NYTimes,5,"Beirut, Also the Site of Deadly Attacks, Feels Forgotten"
WallStreetJournal|2302,0.7858852595936751,2015-11-19,WallStreetJournal,8,APEC Leaders Stay Silent on South China Sea
LATimes|20096,0.6332692985573601,2015-11-20,LATimes,3,A look at the roots of militant violence in Mali
BostonHerald|15199,0.8631185140694551,2015-11-16,BostonHerald,0,"Gov. Baker refusing to accept Syrian refugees, for now"
DailyNews|14168,0.7941503238441876,2015-11-20,DailyNews,2,Bernie Sanders lays out vision of 'Democratic socialism'
LATimes|19277,0.7217126035518702,2015-11-16,LATimes,3,U.S. warplanes target 116 oil trucks allegedly used by Islamic State in Syria
WashingtonPost|6094,0.6825799466501794,2015-11-19,WashingtonPost,9,"After Paris, Muslims around the world continue solidarity against terrorism"
NYTimes|5387,0.7583507654717471,2015-11-18,NYTimes,5,Obama Calls on Beijing to Stop Construction in South China Sea
LATimes|19898,0.9393409150492902,2015-11-19,LATimes,3,Tom Steyer donates $1 million to California initiative to raise tobacco tax
USAToday|7564,0.5990908596565144,2015-11-14,USAToday,7,Senior Islamic State leader killed in strike
BostonHerald|14877,0.5915301294235896,2015-11-14,BostonHerald,0,Threat to U.S. if attackers trained outside France
BostonHerald|14907,0.8386828328442165,2015-11-14,BostonHerald,0,"Celebrities express shock, remorse over news of Paris attacks on Twitter"
BostonHerald|15173,0.8020973522998603,2015-11-16,BostonHerald,0,Republicans on Paris: What happened to US shock and awe?
LATimes|20048,0.7181463074243675,2015-11-20,LATimes,3,Israel hails U.S. release of convicted spy Jonathan Pollard
WashingtonPost|5818,0.6387169356992529,2015-11-14,WashingtonPost,9,U.S. officials: Leader of Islamic State in Libya believed killed in U.S. airstrike
WashingtonPost|6045,0.9071232176982782,2015-11-18,WashingtonPost,9,Passage of Ford-UAW contract in doubt
NYTimes|5405,0.9160183520475454,2015-11-18,NYTimes,5,Fed Minutes Signal Readiness for December Rate Increase
NYPost|16308,0.7040409469385748,2015-11-20,NYPost,4,Gunmen take 170 hostages in Mali hotel attack
StLouisPost|16752,0.9339914927049314,2015-11-18,StLouisPost,6,Fed officials again flag December; see smooth rates liftoff
BostonHerald|15195,0.8572990966837996,2015-11-16,BostonHerald,0,Republican lawmakers may try to block Syrian refugee plan
WashingtonPost|6163,0.7735181501656597,2015-11-20,WashingtonPost,9,"Americans more fearful of a major terror attack in the U.S., poll finds"
StLouisPost|16956,0.8118723051528285,2015-11-19,StLouisPost,6,Georgia official: Employee fired for releasing voter data
USAToday|7857,0.8379862720269963,2015-11-19,USAToday,7,Key lawmaker aims to delay phase-out of Russian rocket engine
StLouisPost|16660,0.9571746431184781,2015-11-17,StLouisPost,6,Jindal says he is dropping out of 2016 race for president
BostonHerald|14916,0.7057058035338614,2015-11-14,BostonHerald,0,The Latest: Turkey detains man believed linked to Emwazi
StLouisPost|16944,0.8106776533836795,2015-11-19,StLouisPost,6,Ben Carson: Refugee program must screen for 'mad dogs'
BostonHerald|15057,0.9154312775850333,2015-11-15,BostonHerald,0,Democratic debate: 5 memorable moments as candidates address ISIS attacks
WashingtonPost|5934,0.6445680400000997,2015-11-17,WashingtonPost,9,Is the United States safe from a Paris-style Islamic State attack?
USAToday|7563,0.8517656490205957,2015-11-14,USAToday,7,Paris terrorist attacks to top Sunday talk shows
NYPost|15518,0.6671960714961507,2015-11-14,NYPost,4,The world grieves with Paris
LATimes|19038,0.5447375852971872,2015-11-14,LATimes,3,Paris carnage extends the range of Islamic State's vicious lunacy
WallStreetJournal|2313,0.5901510470354752,2015-11-19,WallStreetJournal,8,Angela Merkel Faces New Challenge Over Refugee Policy
USAToday|7841,0.7274647112146182,2015-11-19,USAToday,7,Record refugee flights hit all parts of globe
USAToday|7838,0.7874690438078842,2015-11-19,USAToday,7,Syrian refugees overwhelm Lebanon to the breaking point
DailyNews|14178,0.8757150262095813,2015-11-20,DailyNews,2,Debate intensifies over who leaked Huma Abedin’s hours
LATimes|19392,0.7902656318469377,2015-11-17,LATimes,3,Ohio  Gov. John Kasich likely to voice opposition to Syrian refugees in national security speech
WashingtonPost|5909,0.5728168546422852,2015-11-16,WashingtonPost,9,Pentagon promises to boost intelligence sharing with France after Paris attacks
USAToday|7780,0.9213380329201419,2015-11-18,USAToday,7,Jeb Bush disputes notion he is a political 'insider'
NYPost|15520,0.8697902262477981,2015-11-14,NYPost,4,Bronx councilman paid campaign money to four relatives: records
WallStreetJournal|2219,0.8858553950382597,2015-11-15,WallStreetJournal,8,G-20 Faces Hurdles to Spurring Growth
LATimes|19218,0.778456848390872,2015-11-16,LATimes,3,Today: France Strikes Back. What Is Next?
LATimes|19469,0.7800672365797708,2015-11-17,LATimes,3,Inspectors will decide if Russian track athletes can compete in 2016 Olympics
LATimes|19570,0.830619117010581,2015-11-17,LATimes,3,President Obama presses for a climate pact while in the Philippines
NYPost|15869,0.6870662490976993,2015-11-17,NYPost,4,Russia confirms ‘terrorist’ bomb brought down plane in Egypt
WashingtonPost|5819,0.524924332575918,2015-11-14,WashingtonPost,9,Why France could have more trouble stopping terrorism than its neighbors
USAToday|7781,0.7559911780860237,2015-11-18,USAToday,7,Muslim students respond to Paris attacks with candy and Quran
NYPost|16316,0.8221469891085107,2015-11-20,NYPost,4,Convicted Israeli spy released from prison after 30 years
WashingtonPost|5901,0.8025974907094499,2015-11-16,WashingtonPost,9,Schools grapple with how to teach about Paris attacks
StLouisPost|16440,0.6430311521407776,2015-11-16,StLouisPost,6,Capitol Police: No specific threat to Capitol but be careful
NYPost|15621,0.6990428914081129,2015-11-15,NYPost,4,The jihadis’ master plan to break us
StLouisPost|16243,0.8819878124764013,2015-11-14,StLouisPost,6,Viewers' guide: Clinton looks to deflect Sanders' critique
WallStreetJournal|2272,0.9566517337766419,2015-11-17,WallStreetJournal,8,U.K. Government Expected to Shift Renewable Energy Policy
WashingtonPost|6143,0.7584914050086268,2015-11-20,WashingtonPost,9,These iconic American leaders were once refugees
WashingtonPost|5873,0.583728260900884,2015-11-16,WashingtonPost,9,U.S. military bans troops from traveling to France on free time
WallStreetJournal|2216,0.5967396538727112,2015-11-15,WallStreetJournal,8,France Readies to Expand War on Islamists
NYTimes|5254,0.6796427794893556,2015-11-15,NYTimes,5,Kurds Investigate Reports of Mass Grave of Yazidis in Sinjar
NYPost|16258,0.9320034222843463,2015-11-20,NYPost,4,Dennis Quaid says Trump is better at golf than Bill Clinton
USAToday|7934,0.9619635632087868,2015-11-20,USAToday,7,Insurers: Obamacare changes needed soon to protect us from losses
WallStreetJournal|2265,0.7087710670268115,2015-11-17,WallStreetJournal,8,"Hollande Wants to Join With U.S., Russia to Fight ISIS"
WashingtonPost|5932,0.6378181423784335,2015-11-17,WashingtonPost,9,French leader seeks U.S. and Russian views to sharpen Islamic State fight
NYPost|16147,0.9053367280361165,2015-11-19,NYPost,4,City creating 15K units of supportive housing
WallStreetJournal|2283,0.7566751212207112,2015-11-18,WallStreetJournal,8,U.N. Chief Won't Visit North Korea Next Week
LATimes|19068,0.6648841798653533,2015-11-14,LATimes,3,Paris attacks: 'Enough of the words. How many more people need to die?'
DailyNews|14095,0.9514575615974314,2015-11-19,DailyNews,2,Mayor de Blasio to attend Hillary Clinton event in Manhattan
